Epoch [1/2000], Step [20/20], Gen. Loss: 2.3627, Disc Loss: 0.2235, Trained module: discriminator
Epoch [2/2000], Step [20/20], Gen. Loss: 0.7122, Disc Loss: 0.9078, Trained module: generator
Epoch [3/2000], Step [20/20], Gen. Loss: 3.5118, Disc Loss: 0.2035, Trained module: discriminator
Epoch [4/2000], Step [20/20], Gen. Loss: 0.7715, Disc Loss: 1.0248, Trained module: generator
Epoch [5/2000], Step [20/20], Gen. Loss: 4.1671, Disc Loss: 0.1935, Trained module: discriminator
Epoch [6/2000], Step [20/20], Gen. Loss: 0.9750, Disc Loss: 0.8314, Trained module: generator
Epoch [7/2000], Step [20/20], Gen. Loss: 4.5638, Disc Loss: 0.1687, Trained module: discriminator
Epoch [8/2000], Step [20/20], Gen. Loss: 1.1778, Disc Loss: 0.7602, Trained module: generator
Epoch [9/2000], Step [20/20], Gen. Loss: 4.8382, Disc Loss: 0.1627, Trained module: discriminator
Epoch [10/2000], Step [20/20], Gen. Loss: 1.2599, Disc Loss: 0.8202, Trained module: generator
Epoch [11/2000], Step [20/20], Gen. Loss: 5.0088, Disc Loss: 0.1698, Trained module: discriminator
Epoch [12/2000], Step [20/20], Gen. Loss: 1.2316, Disc Loss: 0.7837, Trained module: generator
Epoch [13/2000], Step [20/20], Gen. Loss: 4.9053, Disc Loss: 0.1639, Trained module: discriminator
Epoch [14/2000], Step [20/20], Gen. Loss: 1.0607, Disc Loss: 0.8834, Trained module: generator
Epoch [15/2000], Step [20/20], Gen. Loss: 4.7861, Disc Loss: 0.1678, Trained module: discriminator
Epoch [16/2000], Step [20/20], Gen. Loss: 0.9164, Disc Loss: 1.1223, Trained module: generator
Epoch [17/2000], Step [20/20], Gen. Loss: 4.1017, Disc Loss: 0.1989, Trained module: discriminator
Epoch [18/2000], Step [20/20], Gen. Loss: 0.6110, Disc Loss: 1.3836, Trained module: generator
Epoch [19/2000], Step [20/20], Gen. Loss: 3.3172, Disc Loss: 0.2478, Trained module: discriminator
Epoch [20/2000], Step [20/20], Gen. Loss: 0.5203, Disc Loss: 1.2907, Trained module: generator
Epoch [21/2000], Step [20/20], Gen. Loss: 2.9074, Disc Loss: 0.2662, Trained module: discriminator
Epoch [22/2000], Step [20/20], Gen. Loss: 0.4995, Disc Loss: 1.2448, Trained module: generator
Epoch [23/2000], Step [20/20], Gen. Loss: 2.8863, Disc Loss: 0.2632, Trained module: discriminator
Epoch [24/2000], Step [20/20], Gen. Loss: 0.4635, Disc Loss: 1.2989, Trained module: generator
Epoch [25/2000], Step [20/20], Gen. Loss: 2.9682, Disc Loss: 0.2658, Trained module: discriminator
Epoch [26/2000], Step [20/20], Gen. Loss: 0.4424, Disc Loss: 1.3458, Trained module: generator
Epoch [27/2000], Step [20/20], Gen. Loss: 2.9415, Disc Loss: 0.2724, Trained module: discriminator
Epoch [28/2000], Step [20/20], Gen. Loss: 0.4103, Disc Loss: 1.4119, Trained module: generator
Epoch [29/2000], Step [20/20], Gen. Loss: 2.8860, Disc Loss: 0.2803, Trained module: discriminator
Epoch [30/2000], Step [20/20], Gen. Loss: 0.3982, Disc Loss: 1.4437, Trained module: generator
Epoch [31/2000], Step [20/20], Gen. Loss: 2.7480, Disc Loss: 0.2945, Trained module: discriminator
Epoch [32/2000], Step [20/20], Gen. Loss: 0.3800, Disc Loss: 1.4425, Trained module: generator
Epoch [33/2000], Step [20/20], Gen. Loss: 2.7726, Disc Loss: 0.2953, Trained module: discriminator
Epoch [34/2000], Step [20/20], Gen. Loss: 0.3758, Disc Loss: 1.5368, Trained module: generator
Epoch [35/2000], Step [20/20], Gen. Loss: 2.6894, Disc Loss: 0.3160, Trained module: discriminator
Epoch [36/2000], Step [20/20], Gen. Loss: 0.3612, Disc Loss: 1.5053, Trained module: generator
